id;file_url;quality_score;issues;created_at
1;pfft deceivingly;17402.81;ack reproachfully;2025-07-02T12:13:43
2;why dead once;32159.78;word millet waver;2025-07-03T06:22:29
3;which;6256.03;which oof upwardly;2025-07-02T18:08:32
4;toady;1593.91;splosh someplace writhing;2025-07-03T07:17:24
5;bump gosh now;602.56;oh;2025-07-03T04:11:26
6;calmly platypus midst;2650.67;general yum enthusiastically;2025-07-03T00:47:44
7;seriously;19446.46;interestingly;2025-07-03T06:49:08
8;before swiftly;19512.91;solemnly;2025-07-02T23:00:43
9;psst swift heavily;24101.26;yum or;2025-07-03T06:05:43
10;illusion;24102.26;vulgarise rule because;2025-07-02T19:53:27
