id;selfie_url;id_photo_url;match;score;created_at
1;swelter gah advocate;polite cheerfully;true;24634.41;2025-07-02T23:50:45
2;now blossom;duh;false;20962.93;2025-07-03T09:07:00
3;even unimpressively;yet;true;13369.42;2025-07-02T12:48:05
4;bend over tightly;converse;false;10120.16;2025-07-02T20:04:33
5;among;pointed eek husk;true;2275.8;2025-07-03T08:35:28
6;tame under;swiftly;false;27683.16;2025-07-03T05:23:59
7;disposer transplant;yum brr and;false;20199.63;2025-07-02T23:57:59
8;variable;lucky horse till;false;30538.28;2025-07-02T12:18:27
9;abaft whoa;nor;false;21559.82;2025-07-02T14:59:10
10;equatorial pfft;gallivant yummy propound;false;12367.8;2025-07-03T09:07:52
