id;name;realm_name;client_id
1;alongside approach awesome;physically stall;wherever sunbeam
2;yippee rapidly implode;plain shameful;skean farmer experienced
3;vol;generally drat afterwards;livid even
4;zowie;till;eggplant sudden defenseless
5;kowtow confusion;catch although spring;over
6;famously deficient;mooch tarry;mobilize
7;than tectonics psst;within;roadway scramble after
8;alongside the;delightfully;whether daughter
9;er knowingly substantial;excluding;slow
10;ugh;before kissingly;phooey
