id;title;content;source_url;status;created_at
1;ack;../fake-data/blob/hipster.txt;versus abscond;PENDING;2025-07-03T10:03:16
2;jaywalk;../fake-data/blob/hipster.txt;completion;REVIEWED;2025-07-03T09:21:31
3;what clearly;../fake-data/blob/hipster.txt;finally saw iterate;REVIEWED;2025-07-02T13:36:50
4;woefully;../fake-data/blob/hipster.txt;angrily towards unless;PENDING;2025-07-02T14:09:55
5;ah annually;../fake-data/blob/hipster.txt;gee;REVIEWED;2025-07-02T17:53:37
6;structure requirement along;../fake-data/blob/hipster.txt;respray think;PENDING;2025-07-03T08:11:03
7;though or;../fake-data/blob/hipster.txt;now;REVIEWED;2025-07-03T06:33:30
8;excepting once;../fake-data/blob/hipster.txt;nearly easily;REVIEWED;2025-07-02T23:44:14
9;between at satirize;../fake-data/blob/hipster.txt;now;PENDING;2025-07-03T04:46:11
10;whoa shoulder compete;../fake-data/blob/hipster.txt;sway deflect electric;REVIEWED;2025-07-02T21:00:58
